> [AbstractArgumentParser]: setupCLIOptions() DONE.
width	2048
y0	0
yS	128
output-directory	/tmp
y1	255
strategy	GREEDY_RANGE_SCAN
paint_color	java.awt.Color[r=0,g=160,b=230]
debug	true
xS	128
x0	0
x1	255
input	datasets/SIMPLE_VORONOI_2048x2048_1.png
height	2048
gradient	RAINBOW


Branch summary:
CLASS NAME	METHOD	PC	TAKEN	NOT_TAKEN
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	1447	46247	18778
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	getBottomY	1425	255	65025
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	getRightX	1404	1	255
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	isDebugging	1383	0	1
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	containsCoordinate	1346	254	9525
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	1326	15261	9779
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	containsCoordinate	1267	0	15119
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	1247	9921	15119
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	containsCoordinate	1188	122	15216
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	1168	9702	15338
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	containsCoordinate	1109	0	9428
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	1089	15612	9428
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	1033	25040	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	1025	25040	24252
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	isDebugging	985	1	49292
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	isDebugging	955	0	1
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	924	0	1
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	875	0	1
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	826	0	1
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	777	0	1
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	666	1	152
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	683	152	21584
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	622	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	586	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	550	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	514	0	1
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	491	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	468	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	380	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	357	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	269	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	246	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	158	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	135	1	0
