> [AbstractArgumentParser]: setupCLIOptions() DONE.
width	512
y0	0
yS	64
output-directory	/tmp
y1	127
strategy	GREEDY_RANGE_SCAN
paint_color	java.awt.Color[r=0,g=160,b=230]
debug	true
xS	64
x0	0
x1	127
input	datasets/SIMPLE_VORONOI_512x512_1.png
height	512
gradient	RAINBOW


Branch summary:
CLASS NAME	METHOD	PC	TAKEN	NOT_TAKEN
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	getRightX	1487	1	51
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	1447	3132	12997
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	getBottomY	1425	127	16129
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	getRightX	1404	1	127
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	isDebugging	1383	0	1
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	containsCoordinate	1346	0	409
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	1326	1284	409
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	containsCoordinate	1267	0	1165
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	1247	528	1165
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	containsCoordinate	1188	0	883
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	1168	810	883
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	containsCoordinate	1109	0	709
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	1089	984	709
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	1033	1693	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	1025	1693	1477
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	isDebugging	985	1	3170
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	isDebugging	955	0	1
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	924	0	1
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	875	0	1
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	826	0	1
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	777	0	1
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	666	1	36
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	683	36	1440
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	622	0	1
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	586	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	550	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	514	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	491	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	468	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	380	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	357	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	269	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	246	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	158	1	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	135	1	0
