> [AbstractArgumentParser]: setupCLIOptions() DONE.
width	1024
y0	0
yS	256
output-directory	/tmp
y1	511
strategy	GRID_SCAN
paint_color	java.awt.Color[r=0,g=160,b=230]
debug	true
xS	256
x0	0
x1	511
input	datasets/SIMPLE_VORONOI_1024x1024_1.png
height	1024
gradient	RAINBOW


Branch summary:
CLASS NAME	METHOD	PC	TAKEN	NOT_TAKEN
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	438	59392	11801088
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	457	11729920	71168
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	425	131584	130560
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	384	1702	143188
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	401	13306	129882
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	335	6946	1501972
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	352	1378358	123614
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	322	131584	130560
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	270	10752	228352
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	289	107520	120832
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	219	22016	5260288
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	238	5151744	108544
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	206	131584	130560
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	165	5409	233666
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	182	107491	126175
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	116	5341	1382192
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	133	1256973	125219
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	103	131584	130560
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	isDebugging	73	0	262144
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	getBottomY	66	512	262144
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	getRightX	45	1	512
